"","X.1","X","crime","number","date","location","beat","neighborhood","npu","lat","long","temp","precipitation","cluster","occurence"
"4559",45508,45507,"BURGLARY-RESIDENCE",163272508,"11/22/2016","1931 SHEPHERD CIR SW",410,"Pomona Park","R",33.70213,-84.45156,9.04583333333333,0,5,849
"4560",139491,139490,"LARCENY-NON VEHICLE",131150037,"04/25/2013","68 10TH ST NE",503,"Midtown","E",33.78156,-84.38528,14.4916666666667,0,8,1609
"4561",194988,194987,"LARCENY-NON VEHICLE",161551469,"06/03/2016","1241 MORELAND AVE SE @SUNSHINE PLAZA SC",607,"Woodland Hills","W",33.72039,-84.34958,26.2541666666667,1.8,9,587
"4562",256511,256510,"ROBBERY-PEDESTRIAN",122472119,"09/03/2012","422 9TH STREET NE",506,"Midtown","E",33.7808,-84.37334,24.825,12.1,8,1609
"4563",41212,41211,"ROBBERY-PEDESTRIAN",143182879,"11/14/2014","1229 MECASLIN ST NW",501,"Home Park","E",33.78834,-84.39962,2.13333333333333,0,8,1609
"4564",12338,12337,"BURGLARY-RESIDENCE",142992410,"10/26/2014","223 GREENHAVEN DR SE",611,"The Villages at East Lake","O",33.74118,-84.31335,19.15,0,9,587
"4565",112278,112277,"ROBBERY-PEDESTRIAN",100701654,"03/11/2010","785 ARGONNE AVE NE",506,"Midtown","E",33.77604,-84.37739,11.7166666666667,5.5,8,1609
"4566",137715,137714,"BURGLARY-RESIDENCE",121071202,"04/16/2012","4041 WAITS AVE SW",413,"Fairburn","P",33.69295,-84.52059,21.2875,0.2,5,849
"4567",73230,73229,"LARCENY-NON VEHICLE",123482729,"12/13/2012","261 19TH ST NW ",501,"Atlantic Station","E",33.79371,-84.39677,9.06666666666667,0,8,1609
"4568",176375,176374,"LARCENY-NON VEHICLE",101700374,"06/19/2010","3260 DONALD LEE HOLLOWELL PKWY NW",114,"Bankhead/Bolton","H",33.78735,-84.49452,27.675,0.2,6,1164
"4569",39019,39018,"BURGLARY-RESIDENCE",133132208,"11/09/2013","2640 MARTIN L KING JR DR SW",405,"Harland Terrace","I",33.75381,-84.47425,8.80416666666667,0,6,1164
"4570",141737,141736,"LARCENY-FROM VEHICLE",141190847,"04/29/2014","330 W PEACHTREE ST NW ",508,"Downtown","M",33.76364,-84.38791,21.4791666666667,10.5,8,1609
"4571",151535,151534,"LARCENY-NON VEHICLE",90921286,"04/02/2009","3393 PEACHTREE ROAD",210,"Lenox","B",33.84676,-84.36212,15.7333333333333,16.8,4,966
"4572",221020,221019,"LARCENY-NON VEHICLE",92040988,"07/23/2009","1452 EASON ST",105,"Hunter Hills","K",33.75724,-84.43554,23.9625,3.1,3,1868
"4573",1268,1267,"LARCENY-NON VEHICLE",102932332,"10/20/2010","941 GRANT ST SE",605,"Grant Park","W",33.72855,-84.37691,18.7958333333333,2.1,1,1118
"4574",155695,155694,"LARCENY-FROM VEHICLE",111432337,"05/23/2011","370 MILLEDGE AVE SE",605,"Grant Park","W",33.73915,-84.37553,26.9458333333333,0,1,1118
"4575",254877,254876,"LARCENY-NON VEHICLE",122641837,"09/20/2012","2591 PIEDMONT RD NE",211,"Lindbergh/Morosgo","B",33.82543,-84.36706,21.0791666666667,0,4,966
"4576",183311,183310,"AUTO THEFT",121630666,"06/11/2012","801 MYRTLE AVE NE",505,"Midtown","E",33.77652,-84.37958,21.0791666666667,32.9,8,1609
"4577",75657,75656,"LARCENY-FROM VEHICLE",133490361,"12/15/2013","1038 WASHITA AVE NE",602,"Inman Park","N",33.76441,-84.35379,6.85833333333333,1.8,1,1118
"4578",128726,128725,"LARCENY-NON VEHICLE",90771172,"03/18/2009","12 BROAD ST SW",511,"Downtown","M",33.7532,-84.39201,12.1208333333333,0,8,1609
